Date	Y	X	Z	RASTERVALU	Tiefe [km]	Magnitude	Epizentrum
20.01.2015	50.837	6.181	-15219.03	180.97	15.4	0.3	WUERSELEN
20.01.2017	50.724	6.247	-2679.54	320.46	3	0.1	ZWEIFALL
20.02.2017	50.702	6.312	-16054.52	445.48	16.5	0.3	RAFFELSBRAND
20.03.1984	50.945	6.396	-9500.02	99.98	9.6	0.9	NE. JUELICH
20.03.2000	50.945	6.255	-1610.48	89.52	1.7	1.7	UEBACH PALENBERG
20.04.1992	50.825	6.238	-15716	184	15.9	2.3	ESCHWEILER
20.04.2002	50.856	6.261	-13354.51	145.49	13.5	1.1	DUERWISS
20.04.2015	50.929	6.392	-11299.69	100.31	11.4	1	JUELICH
20.04.2015	50.933	6.401	-7391.89	108.11	7.5	1.2	JUELICH
20.05.2015	50.917	6.453	-5956.84	243.16	6.2	2.1	HAMBACH
20.05.2015	50.715	6.279	-6457.73	342.27	6.8	0.4	ZWEIFALL
20.07.1992	50.861	6.271	-13765.4	134.6	13.9	2.3	ESCHWEILER
20.07.2009	50.891	6.072	-12302.21	97.79	12.4	0.8	EYGELSHOVEN
20.08.2004	50.92	6.458	-4450.75	249.25	4.7	0.5	E. STETTERNICH
20.10.2004	50.729	6.173	-5343.62	256.38	5.6	1.5	KORNELIMUENSTER
20.11.2011	50.82	6.16	-3609.87	190.13	3.8	0.9	WUERSELEN
20.11.2015	50.812	6.274	-14163.75	136.25	14.3	0.8	ESCHWEILER
20.11.2015	50.811	6.274	-13760.41	139.59	13.9	0.4	ESCHWEILER
20.12.2010	50.796	6.289	-12935.93	164.07	13.1	1	STOLBERG
20.12.2010	50.79	6.29	-13320.25	179.75	13.5	1.3	STOLBERG
21.01.2007	50.875	6.548	-1194.47	105.53	1.3	1.8	S. ETZWEILER
21.03.1994	50.919	6.149	-16671.48	128.52	16.8	1.9	UEBACH-PALENBERG
21.03.2002	50.767	6.271	-16403.63	296.37	16.7	1.5	E. STOLBERG
